subject,category,question,options,correct,difficulty,source,id
Current Affairs,International Organizations,Who is 14th President of World Bank (IBRD)?,"['Jim Yong Kim', 'Ajay Banga', 'David Malpass', 'Robert Zoellick']",1,Medium,6-Month Current Affairs 2025,Q_0125
Current Affairs,International Organizations,Who is Director General of UNESCO?,"['Irina Bokova', 'Audre Azoulay', 'Federico Mayor', 'Koichiro Matsuura']",1,Hard,6-Month Current Affairs 2025,Q_0126
Current Affairs,Technology CEOs,Who is CEO of Google?,"['Larry Page', 'Sunder Pichai', 'Sergey Brin', 'Eric Schmidt']",1,Easy,6-Month Current Affairs 2025,Q_0127
Current Affairs,Technology CEOs,Who is CEO of Apple?,"['Steve Jobs', 'Tim Cook', 'Steve Wozniak', 'John Sculley']",1,Easy,6-Month Current Affairs 2025,Q_0128
Current Affairs,Technology CEOs,Who is CEO of Microsoft?,"['Bill Gates', 'Satya Nadella', 'Steve Ballmer', 'Paul Allen']",1,Easy,6-Month Current Affairs 2025,Q_0129
Current Affairs,Indian Companies,Who is CEO of Tata Sons/Trust?,"['Ratan Tata', 'Natarajan Chandrasekaran', 'Cyrus Mistry', 'JRD Tata']",1,Medium,6-Month Current Affairs 2025,Q_0130
Current Affairs,Indian Companies,Who is CEO of TCS?,"['Rajesh Gopinathan', 'K. Krittivasan', 'N. Chandrasekaran', 'S. Ramadorai']",1,Medium,6-Month Current Affairs 2025,Q_0131
Current Affairs,Indian Companies,Who is CEO of Infosys?,"['N.R. Narayana Murthy', 'Salil Parekh', 'Vishal Sikka', 'Nandan Nilekani']",1,Medium,6-Month Current Affairs 2025,Q_0132
Current Affairs,Technology CEOs,Who is CEO of Open AI?,"['Elon Musk', 'Sam Altman', 'Greg Brockman', 'Ilya Sutskever']",1,Medium,6-Month Current Affairs 2025,Q_0133
Current Affairs,Technology CEOs,Who is CEO of SpaceX?,"['Jeff Bezos', 'Elon Musk', 'Richard Branson', 'Blue Origin']",1,Easy,6-Month Current Affairs 2025,Q_0134
Current Affairs,Technology CEOs,Who is CEO of YouTube?,"['Susan Wojcicki', 'Neal Mohan', 'Chad Hurley', 'Steve Chen']",1,Medium,6-Month Current Affairs 2025,Q_0135
Current Affairs,Technology CEOs,Who is CEO of Instagram?,"['Mark Zuckerberg', 'Kevin Systrom', 'Mike Krieger', 'Adam Mosseri']",1,Medium,6-Month Current Affairs 2025,Q_0136
Current Affairs,Technology CEOs,Who is CEO of Facebook (Meta)?,"['Sheryl Sandberg', 'Mark Zuckerberg', 'Eduardo Saverin', 'Sean Parker']",1,Easy,6-Month Current Affairs 2025,Q_0137
Current Affairs,Technology CEOs,Who is CEO of Twitter (X)?,"['Jack Dorsey', 'Linda Yaccarino', 'Elon Musk', 'Parag Agrawal']",1,Medium,6-Month Current Affairs 2025,Q_0138
Current Affairs,Indian E-commerce,Who is CEO of Flipkart?,"['Sachin Bansal', 'Kalyan Krishnamurthy', 'Binny Bansal', 'Sameer Nigam']",1,Medium,6-Month Current Affairs 2025,Q_0139
Current Affairs,Economics,What was India's GDP growth rate in Q1 2025-26?,"['6.5%', '7.0%', '7.8%', '8.2%']",2,Medium,6-Month Current Affairs 2025,Q_0140
Current Affairs,Monetary Policy,What is current repo rate as per RBI MPC meeting Aug 2025?,"['5.25%', '5.50%', '5.75%', '6.00%']",1,Medium,6-Month Current Affairs 2025,Q_0141
Current Affairs,International Trade,"US imposed what percentage tariffs on Indian goods from Aug 27, 2025?","['25%', '40%', '50%', '60%']",2,Medium,6-Month Current Affairs 2025,Q_0142
Current Affairs,Credit Rating,Which agency upgraded India's sovereign credit rating to BBB in Aug 2025?,"[""Moody's"", 'Fitch', 'S&P Global Ratings', 'CRISIL']",2,Medium,6-Month Current Affairs 2025,Q_0143
Current Affairs,Aviation,Which position did India hold in world's largest aviation markets in 2024?,"['3rd', '4th', '5th', '6th']",2,Medium,6-Month Current Affairs 2025,Q_0144
Current Affairs,Sports,National Sports Day (29 August) marks whose birth anniversary?,"['Kapil Dev', 'P.T. Usha', 'Major Dhyan Chand', 'Milkha Singh']",2,Easy,6-Month Current Affairs 2025,Q_0145
Current Affairs,Sports,Which team won Durand Cup 2025?,"['East Bengal', 'Jamshedpur FC', 'NorthEast United FC', 'Diamond Harbour FC']",2,Medium,6-Month Current Affairs 2025,Q_0146
Current Affairs,Sports,Who won gold in 72kg category at U20 World Wrestling Championships 2025?,"['Priya Malik', 'Kajal Dochak', 'Reena', 'Shruti']",1,Medium,6-Month Current Affairs 2025,Q_0147
Current Affairs,Sports,Who won Masters Section of Chennai Grand Masters 2025 chess tournament?,"['D. Gukesh', 'Vincent Keymer', 'R. Praggnanandhaa', 'Arjun Erigaisi']",1,Medium,6-Month Current Affairs 2025,Q_0148
Current Affairs,Sports,Mirabai Chanu won gold at 2025 Commonwealth Weightlifting Championships in which event?,"['49kg category', '55kg category', '59kg category', '64kg category']",0,Medium,6-Month Current Affairs 2025,Q_0149
Current Affairs,Sports,What was the final result of Anderson-Tendulkar Trophy Test series 2025?,"['India won 3-1', 'England won 3-2', 'Series drawn 2-2', 'India won 4-1']",2,Medium,6-Month Current Affairs 2025,Q_0150
Current Affairs,Space,When is National Space Day celebrated in India?,"['15 August', '23 August', '2 October', '26 January']",1,Easy,6-Month Current Affairs 2025,Q_0151
Current Affairs,Space,What is name of Uranus's newly discovered 29th moon in 2025?,"['S/2025 U1', 'Ura-29', 'S/2025 M1', 'Neo-U1']",0,Medium,6-Month Current Affairs 2025,Q_0152
Current Affairs,Defense,What is range of Agni-5 missile test-fired in Aug 2025?,"['1,500+ km', '3,000+ km', '5,000+ km', '7,500+ km']",2,Medium,6-Month Current Affairs 2025,Q_0153
Current Affairs,Space,ISRO successfully conducted first Integrated Air Drop Test for which mission?,"['Chandrayaan-4', 'Gaganyaan', 'Mangalyaan-2', 'Shukrayaan']",1,Medium,6-Month Current Affairs 2025,Q_0154
Current Affairs,Transportation,Name of Asia's longest freight train (4.5 km) that completed trial in Aug 2025?,"['Vande Bharat Freight', 'Rudrastra', 'Vishwakarma', 'Bharatmala Express']",1,Medium,6-Month Current Affairs 2025,Q_0155
Current Affairs,Awards,Which Hindi film won Best Film award at 71st National Film Awards?,"['RRR', '12th Fail', 'The Kashmir Files', 'Gangubai Kathiawadi']",1,Medium,6-Month Current Affairs 2025,Q_0156
Chemistry,Nobel Prize,Which scientist was awarded Nobel Prize 1911 for discovering radium and polonium?,"['John Dalton', 'Dmitri Mendeleev', 'Emil Fischer', 'Marie Curie']",3,Medium,Science Bowl Chemistry,Q_0157
Chemistry,Nobel Prize,Who was first American chemist to receive Nobel Prize for atomic weights?,"['Edward Frankland', 'Theodore Richards', 'John Bardeen', 'Paul Dirac']",1,Medium,Science Bowl Chemistry,Q_0158
Chemistry,Nuclear Physics,Which German scientists discovered atomic fission of uranium?,"['Hahn and Strassman', 'Nernst and Planck', 'Ostwald and Heisenberg', 'Bohr and Rutherford']",0,Medium,Science Bowl Chemistry,Q_0159
Chemistry,Periodic Table,Who developed table of elements revealing regularities in 1869?,"['Theodore Richards', 'Antoine Lavoisier', 'Dmitri Mendeleev', 'Svante Arrhenius']",2,Medium,Science Bowl Chemistry,Q_0160
Chemistry,Atomic Structure,How many electrons can occupy an s orbital?,"['one', 'two', 'three', 'four']",1,Easy,Science Bowl Chemistry,Q_0161
Chemistry,Atomic Structure,Which characteristic necessary for electrons sharing s orbital?,"['coplanar spins', 'parallel spins', 'opposite spins', 'none of these']",2,Medium,Science Bowl Chemistry,Q_0162
Chemistry,Coordination Chemistry,What term refers to number of molecules attached to central atom?,"['coordination number', 'connection number', 'bonding number', 'none of these']",0,Medium,Science Bowl Chemistry,Q_0163
Chemistry,Chemical Properties,Which pairs do NOT show similar chemical properties?,"['fluorine-argon', 'beryllium-aluminum', 'boron-silicon', 'lithium-magnesium']",0,Medium,Science Bowl Chemistry,Q_0164
Chemistry,Inorganic Chemistry,What is common name for calcium oxide CaO?,"['Lime', 'Quicklime', 'Slaked lime', 'Limestone']",1,Easy,Science Bowl Chemistry,Q_0165
Chemistry,Nuclear Chemistry,Which term refers to material that slows neutrons?,"['retarder', 'moderator', 'buffer', 'bottleneck']",1,Medium,Science Bowl Chemistry,Q_0166
Chemistry,Physical Chemistry,What refers to scattering of light by colloidal particles?,"['Rutherford effect', 'Tyndall effect', 'Thompson effect', 'none of these']",1,Medium,Science Bowl Chemistry,Q_0167
Chemistry,Nuclear Physics,Who proved that neutrons existed?,"['Ernest Rutherford', 'James Chadwick', 'Niels Bohr', 'Max Planck']",1,Medium,Science Bowl Chemistry,Q_0168
Chemistry,Metallurgy,What is easily melted product of flux and ore impurities?,"['slag', 'slurry', 'slug', 'none of above']",0,Medium,Science Bowl Chemistry,Q_0169
Chemistry,Thermodynamics,Name thermodynamic state function that measures randomness.,"['Enthalpy', 'Entropy', 'Free Energy', 'Internal Energy']",1,Medium,Science Bowl Chemistry,Q_0170
Chemistry,Alloys,What term describes silver containing 7.5% copper?,"['Pure silver', 'Sterling', 'Fine silver', 'Alloy silver']",1,Medium,Science Bowl Chemistry,Q_0171
Chemistry,Thermodynamics,Name state function that represents heat content of system.,"['Entropy', 'Enthalpy', 'Free Energy', 'Internal Energy']",1,Medium,Science Bowl Chemistry,Q_0172
Chemistry,Boron Properties,Which is NOT a physical property of crystalline boron?,"['brown color', 'diamond hardness', 'brittleness', 'high electrical resistance']",0,Hard,Science Bowl Chemistry,Q_0173
Chemistry,Noble Gases,Which noble gas has highest melting point?,"['argon', 'krypton', 'xenon', 'radon']",3,Medium,Science Bowl Chemistry,Q_0174
Chemistry,Noble Gases,Why do noble gases have low boiling points?,"['low ionization potentials', 'only weak Van der Waals forces', 'fractional distillation', 'eight outer electrons']",1,Medium,Science Bowl Chemistry,Q_0175
Chemistry,Solubility,For which class of salts are all compounds soluble in water?,"['sulfates', 'nitrates', 'hydroxides', 'chlorides']",1,Medium,Science Bowl Chemistry,Q_0176
Chemistry,Base Properties,Which is NOT a general property of hydroxide bases in aqueous solution?,"['High solubility', 'Bitter taste', 'Ability to neutralize acids', 'Change phenolphthalein to red']",0,Hard,Science Bowl Chemistry,Q_0177
Chemistry,Acids,What is aqua regia?,"['concentrated nitric acid', 'mixture of HCl and HNO3', 'concentrated HCl', 'mixture of H2SO4 and HCl']",1,Medium,Science Bowl Chemistry,Q_0178
Chemistry,pH,A solution with pH 12 is:,"['weakly acidic', 'strongly acidic', 'weakly basic', 'strongly basic']",3,Easy,Science Bowl Chemistry,Q_0179
Chemistry,Halogens,Which halogen has largest atomic radius?,"['Cl', 'I', 'Br', 'At']",3,Medium,Science Bowl Chemistry,Q_0180
Chemistry,Iodine Applications,Compounds of iodine are NOT used for which purpose?,"['as a refrigerant', 'in photographic film', 'as essential part of diet', 'as an antiseptic']",0,Medium,Science Bowl Chemistry,Q_0181
Chemistry,Phosphorus,Allotropic modifications of phosphorus include all EXCEPT:,"['red phosphorus', 'black phosphorus', 'white phosphorus', 'green phosphorus']",3,Hard,Science Bowl Chemistry,Q_0182
Chemistry,Measurement,How many milligrams are in one metric carat?,"['100', '200', '250', '500']",1,Medium,Science Bowl Chemistry,Q_0183
Chemistry,Organic Chemistry,What class of compounds characterized by -OH group bonded to alkyl?,"['Alcohol', 'Ester', 'Ether', 'Aldehyde']",0,Easy,Science Bowl Chemistry,Q_0184
Chemistry,Organic Chemistry,Which contain sp2 hybridized carbon atoms?,"['alkanes', 'alkenes', 'alkynes', 'cycloalkanes']",1,Medium,Science Bowl Chemistry,Q_0185
Chemistry,Organic Chemistry,Which phrase is NOT appropriate for benzene description?,"['characteristic reactivity of alkene', 'volatile liquid', 'aromatic hydrocarbon', 'resonance hybridization']",0,Hard,Science Bowl Chemistry,Q_0186
Chemistry,Aromatic Hydrocarbons,Which is NOT an aromatic hydrocarbon?,"['naphthalene', 'hexane', 'styrene', 'xylene']",1,Medium,Science Bowl Chemistry,Q_0187
Chemistry,Aliphatic Hydrocarbons,Which is NOT an aliphatic hydrocarbon?,"['n-octane', 'propylene', 'n-tridecane', 'benzene']",3,Medium,Science Bowl Chemistry,Q_0188
Chemistry,Carbon Dioxide,Which is NOT a means of preparing carbon dioxide?,"['burning coke in absence of air', 'combustion of methane', 'heating normal carbonates', 'action of acids on carbonates']",0,Hard,Science Bowl Chemistry,Q_0189
Chemistry,Biochemistry,"After carbon, hydrogen, oxygen, next most abundant element in proteins?","['Sulfur', 'Nitrogen', 'Phosphorus', 'Chlorine']",1,Medium,Science Bowl Chemistry,Q_0190
Chemistry,Biochemistry,Which one is NOT a lipid?,"['fats and oils', 'starches', 'steroids', 'waxes']",1,Medium,Science Bowl Chemistry,Q_0191
Chemistry,Vitamins,Which one is NOT a vitamin?,"['ascorbic acid', 'niacin', 'trypsin', 'riboflavin']",2,Medium,Science Bowl Chemistry,Q_0192
Chemistry,Units,Which has units of Pascal?,"['force', 'volume', 'pressure', 'viscosity']",2,Easy,Science Bowl Chemistry,Q_0193
Chemistry,Units,A Poise is unit of measure of what?,"['pressure', 'viscosity', 'force', 'mass']",1,Medium,Science Bowl Chemistry,Q_0194
Chemistry,Element Symbols,Which element is represented by symbol B?,"['Barium', 'Bismuth', 'Boron', 'Beryllium']",2,Easy,Science Bowl Chemistry,Q_0195
Chemistry,Element Symbols,What element is represented by symbol Rb?,"['Rubidium', 'Radium', 'Rhodium', 'Radon']",0,Medium,Science Bowl Chemistry,Q_0196
Chemistry,Element Symbols,What element is represented by symbol Sn?,"['Silicon', 'Sulfur', 'Tin', 'Sodium']",2,Medium,Science Bowl Chemistry,Q_0197
Chemistry,Element Symbols,What element is represented by symbol Sr?,"['Sulfur', 'Strontium', 'Silver', 'Scandium']",1,Medium,Science Bowl Chemistry,Q_0198
Chemistry,Element Symbols,What element is represented by symbol Ga?,"['Gallium', 'Germanium', 'Gold', 'Gadolinium']",0,Medium,Science Bowl Chemistry,Q_0199
Chemistry,Element Symbols,What element is represented by symbol Rh?,"['Radon', 'Rubidium', 'Rhodium', 'Rhenium']",2,Hard,Science Bowl Chemistry,Q_0200
Chemistry,Element Symbols,What element is represented by symbol Ho?,"['Hydrogen', 'Helium', 'Holmium', 'Hafnium']",2,Hard,Science Bowl Chemistry,Q_0201
Chemistry,Periodic Table,"In periodic table, which identifies a horizontal row?","['period', 'group', 'family', 'series']",0,Easy,Science Bowl Chemistry,Q_0202
Chemistry,Chemical Bonding,Which describes orientation of bonds in sp3 hybridized atom?,"['triagonal', 'linear', 'tetrahedral', 'planar']",2,Medium,Science Bowl Chemistry,Q_0203
Chemistry,Chemical Bonding,Forces in ionic crystalline solids are primarily what?,"['covalent', 'electrostatic', 'Van der Waals', 'magnetic']",1,Medium,Science Bowl Chemistry,Q_0204
Chemistry,Octet Rule,In which compound is the octet rule violated?,"['CO2', 'NH4+', 'SO42-', 'NO2']",3,Hard,Science Bowl Chemistry,Q_0205
Chemistry,Solution Chemistry,Normality is defined as number of what per liter of solution?,"['moles of solute', 'equivalent weights of solute', 'kilograms of solute', 'grams of solute']",1,Medium,Science Bowl Chemistry,Q_0206
Chemistry,Solution Chemistry,Which concentration expression is moles of solute per kilogram of solvent?,"['molarity', 'molality', 'normality', 'equivalents']",1,Medium,Science Bowl Chemistry,Q_0207
Chemistry,Oxidation Numbers,What is oxidation number of N in NaNO2?,"['+5', '+2', '+3', '-3']",2,Medium,Science Bowl Chemistry,Q_0208
Chemistry,Oxidation Numbers,What is oxidation number of sulfur in sulfurous acid?,"['+2', '+4', '+6', '-2']",1,Medium,Science Bowl Chemistry,Q_0209
Chemistry,Electronic Configuration,Which atom has two unpaired electrons in ground state?,"['Sodium', 'Calcium', 'Oxygen', 'Aluminum']",2,Medium,Science Bowl Chemistry,Q_0210
Chemistry,Chemical Bonding,In which compound is bonding most covalent?,"['NaCl', 'F2', 'MgS', 'Fe3C']",1,Medium,Science Bowl Chemistry,Q_0211
Chemistry,Chemical Bonding,Bond in hydrogen chloride is which type?,"['ionic', 'nonpolar covalent', 'polar covalent', 'covalent network']",2,Medium,Science Bowl Chemistry,Q_0212
Chemistry,Chemical Bonding,Bond in Fluorine is which type?,"['ionic', 'nonpolar covalent', 'polar covalent', 'covalent network']",1,Medium,Science Bowl Chemistry,Q_0213
Chemistry,Periodic Groups,Elements in group 1A are called:,"['halogens', 'alkaline earths', 'alkali metals', 'rare earths']",2,Easy,Science Bowl Chemistry,Q_0214
Chemistry,Organic Compounds,What is name of organic compound amygdalin found in apricot pits?,"['Cyanide', 'Laetrile', 'Benzaldehyde', 'Mandelic acid']",1,Hard,Science Bowl Chemistry,Q_0215
Chemistry,Mining,Name element discovered upon extraction from pitchblende?,"['platinum', 'uranium', 'iridium', 'plutonium']",1,Medium,Science Bowl Chemistry,Q_0216
Chemistry,Biochemistry,"All proteins contain 5 elements. Four are C, O, H, N. What is fifth?","['Phosphorus', 'Sulfur', 'Iron', 'Calcium']",1,Medium,Science Bowl Chemistry,Q_0217
Chemistry,Minerals,"Cinnabar, pyrite and galena contain which common element?","['iron', 'copper', 'sulfur', 'sodium']",2,Medium,Science Bowl Chemistry,Q_0218
Chemistry,Flame Tests,"In flame test, copper produces what color flame?","['red', 'orange', 'indigo', 'blue-green']",3,Medium,Science Bowl Chemistry,Q_0219
Chemistry,Nuclear Chemistry,How are alpha rays different from beta rays?,"['alpha deflected in magnetic field', 'alpha identical to electron', 'alpha positive, beta negative', 'alpha from nucleus, beta outside']",2,Medium,Science Bowl Chemistry,Q_0220
Chemistry,Noble Gas Properties,Which statement is TRUE about noble gas molar heat capacity?,"['decreases He to Xe', 'increases He to Ar', 'increases He to Ar, decreases to Xe', 'same for all noble gases']",3,Hard,Science Bowl Chemistry,Q_0221
Chemistry,Material Classification,Which material is heterogeneous?,"['quartz', 'feldspar', 'granite', 'mica']",2,Medium,Science Bowl Chemistry,Q_0222
Chemistry,Halogen Chemistry,Which halogen does NOT replace other halogens from compounds?,"['fluorine', 'iodine', 'bromine', 'chlorine']",1,Medium,Science Bowl Chemistry,Q_0223
Chemistry,Fossil Fuels,Which is earliest stage in coal formation?,"['sub-bituminous', 'bituminous', 'anthracite', 'lignite']",3,Medium,Science Bowl Chemistry,Q_0224
Chemistry,Organic Chemistry,"When aldehyde heated with Fehling's solution, it undergoes:","['neutralization', 'oxidation', 'reduction', 'esterification']",1,Medium,Science Bowl Chemistry,Q_0225
Chemistry,Organic Chemistry,Hydrolysis of fat using strong hydroxide is called:,"['neutralization', 'esterification', 'saponification', 'condensation']",2,Medium,Science Bowl Chemistry,Q_0226
Chemistry,Organic Chemistry,What is formed by heating organic acid with alcohol?,"['Aldehyde', 'Ester', 'Ketone', 'Ether']",1,Medium,Science Bowl Chemistry,Q_0227
Chemistry,Electrochemistry,"In common dry cell, zinc atoms are:","['reduced at cathode', 'oxidized at cathode', 'oxidized at anode', 'reduced at anode']",2,Medium,Science Bowl Chemistry,Q_0228
Chemistry,Periodic Trends,Ionization energy generally increases across period because of increasing:,"['atomic radius', 'melting point', 'nuclear charge', 'density']",2,Medium,Science Bowl Chemistry,Q_0229
Chemistry,Redox Chemistry,Which reaction involves NEITHER oxidation nor reduction?,"['burning antimony in chlorine', 'decomposition of potassium chlorate', 'sodium with water', 'KOH with nitric acid']",3,Hard,Science Bowl Chemistry,Q_0230
Chemistry,Flame Tests,"In flame test, lithium and strontium produce what color?","['Blue', 'Green', 'Red', 'Yellow']",2,Medium,Science Bowl Chemistry,Q_0231
Chemistry,Scientific Principles,Who hypothesized impossibility of knowing exact location and momentum simultaneously?,"['Heisenberg', 'De Broglie', 'Planck', 'Schrodinger']",0,Medium,Science Bowl Chemistry,Q_0232
Chemistry,Scientific Principles,Who first determined atomic number using X-rays?,"['Millikan', 'Planck', 'Thompson', 'Moseley']",3,Medium,Science Bowl Chemistry,Q_0233
Chemistry,Acid-Base Theory,Ammonia is Lewis base because it can donate:,"['electrons', 'protons', 'hydronium ions', 'hydroxide ions']",0,Medium,Science Bowl Chemistry,Q_0234
Chemistry,Acid-Base Chemistry,Acids react with bases to form:,"['salt and acidic anhydride', 'water and basic anhydride', 'basic anhydride and salt', 'salt and water']",3,Easy,Science Bowl Chemistry,Q_0235
Chemistry,Biochemistry,What is metallic salt of fatty acid?,"['soap', 'plastic', 'rubber', 'petroleum']",0,Medium,Science Bowl Chemistry,Q_0236
Chemistry,Biochemistry,Which are polymers of amino acids?,"['nucleotides', 'carbohydrates', 'lipids', 'proteins']",3,Easy,Science Bowl Chemistry,Q_0237
Chemistry,Biochemistry,In which class would WAX be found?,"['carbohydrates', 'lipids', 'proteins', 'nucleic acids']",1,Medium,Science Bowl Chemistry,Q_0238
Chemistry,Buffer Chemistry,Which pair could NOT create buffer solution?,"['HCl and NaCl', 'HCN and NaCN', 'NH3 and NH4Cl', 'HNO2 and NaNO2']",0,Hard,Science Bowl Chemistry,Q_0239
Chemistry,Crystal Structure,"In body-centered cesium chloride, how many nearest chloride ions surround cesium?","['6', '8', '12', '14']",1,Hard,Science Bowl Chemistry,Q_0240
Chemistry,Metallurgy,Which metallic element is produced from ore Bauxite?,"['Iron', 'Aluminum', 'Copper', 'Zinc']",1,Medium,Science Bowl Chemistry,Q_0241
Chemistry,Metallurgy,What molten substance is used in Hall process to reduce aluminum?,"['Alumina', 'Cryolite', 'Bauxite', 'Sodium']",1,Hard,Science Bowl Chemistry,Q_0242
Chemistry,Noble Gases,Name any five noble gases (in order of atomic number):,"['He, Ne, Ar, Kr, Xe', 'He, Ne, Ar, Kr, Rn', 'Ne, Ar, Kr, Xe, Rn', 'He, Ar, Kr, Xe, Rn']",0,Medium,Science Bowl Chemistry,Q_0243
Chemistry,Alkali Metals,Name first four alkali metals in order:,"['Li, Na, K, Rb', 'Na, K, Rb, Cs', 'Li, Na, K, Cs', 'H, Li, Na, K']",0,Medium,Science Bowl Chemistry,Q_0244
Chemistry,Element Identification,"Element in same column as lead, used in resistors, hardest substance - what element?","['Silicon', 'Carbon', 'Germanium', 'Tin']",1,Hard,Science Bowl Chemistry,Q_0245
Chemistry,Halogens,Four lightest halogens in order of increasing mass:,"['F, Cl, Br, I', 'Cl, Br, I, At', 'F, Br, Cl, I', 'F, Cl, I, Br']",0,Medium,Science Bowl Chemistry,Q_0246
Chemistry,Organic Chemistry,What functional group do all ketone molecules contain?,"['hydroxyl', 'carbonyl', 'carboxyl', 'amino']",1,Medium,Science Bowl Chemistry,Q_0247
Chemistry,Organic Chemistry,What is formula of organic acid functional group?,"['OH', 'COOH', 'CHO', 'NH2']",1,Easy,Science Bowl Chemistry,Q_0248
Chemistry,IUPAC Names,IUPAC name for straight chain saturated organic acid with 10 carbons:,"['Octanoic acid', 'Nonanoic acid', 'Decanoic acid', 'Undecanoic acid']",2,Hard,Science Bowl Chemistry,Q_0249
Chemistry,IUPAC Names,IUPAC name of shortest alcohol:,"['Ethanol', 'Methanol', 'Propanol', 'Butanol']",1,Easy,Science Bowl Chemistry,Q_0250
General Knowledge,Music & Entertainment,Carl and the Passions changed band name to what?,"['The Beatles', 'Beach Boys', 'Rolling Stones', 'The Who']",1,Medium,"10,000 General Knowledge Questions",Q_0251
General Knowledge,Music,Who was the King of Swing?,"['Duke Ellington', 'Benny Goodman', 'Glenn Miller', 'Count Basie']",1,Medium,"10,000 General Knowledge Questions",Q_0252
General Knowledge,Music,Whose band was The Quarrymen?,"['Paul McCartney', 'John Lennon', 'George Harrison', 'Ringo Starr']",1,Medium,"10,000 General Knowledge Questions",Q_0253
General Knowledge,Music,Who wrote Opera Madam Butterfly?,"['Puccini', 'Verdi', 'Mozart', 'Rossini']",0,Medium,"10,000 General Knowledge Questions",Q_0254
General Knowledge,Music,Who composed Brandenburg concertos?,"['Mozart', 'Beethoven', 'Johan Sebastian Bach', 'Handel']",2,Medium,"10,000 General Knowledge Questions",Q_0255
General Knowledge,Music,Who composed ballets Sleeping Beauty and The Nutcracker?,"['Stravinsky', 'Tchaikovsky', 'Prokofiev', 'Rimsky-Korsakov']",1,Medium,"10,000 General Knowledge Questions",Q_0256
General Knowledge,Music,Who wrote music for ballets Firebird and Rites of Spring?,"['Tchaikovsky', 'Prokofiev', 'Igor Stravinsky', 'Stravinsky']",2,Hard,"10,000 General Knowledge Questions",Q_0257
General Knowledge,Music,Who won Euro song contest Save All Your Kisses For Me?,"['ABBA', 'Brotherhood of Man', 'Cliff Richard', 'Bucks Fizz']",1,Hard,"10,000 General Knowledge Questions",Q_0258
General Knowledge,Sports,How many rings on Olympic flag?,"['Four', 'Five', 'Six', 'Seven']",1,Easy,"10,000 General Knowledge Questions",Q_0259
General Knowledge,Sports,Which was most successful Grand National horse?,"['Secretariat', 'Red Rum', 'Seabiscuit', ""Man o' War""]",1,Medium,"10,000 General Knowledge Questions",Q_0260
General Knowledge,Sports,Who was first man to run sub four minute mile?,"['Sebastian Coe', 'Roger Bannister', 'Steve Ovett', 'John Walker']",1,Medium,"10,000 General Knowledge Questions",Q_0261
General Knowledge,Sports,Who won World Series in 1987?,"['New York Yankees', 'Minnesota Twins', 'Detroit Tigers', 'Boston Red Sox']",1,Hard,"10,000 General Knowledge Questions",Q_0262
General Knowledge,Sports,Who won Superbowl in 1988?,"['Denver Broncos', 'Washington Redskins', 'San Francisco 49ers', 'Miami Dolphins']",1,Hard,"10,000 General Knowledge Questions",Q_0263
General Knowledge,Sports,Who won Superbowl in 1989?,"['Cincinnati Bengals', 'San Francisco 49ers', 'Denver Broncos', 'Washington Redskins']",1,Hard,"10,000 General Knowledge Questions",Q_0264
General Knowledge,Sports,Who won Superbowl in 1987?,"['Denver Broncos', 'New York Giants', 'Washington Redskins', 'Chicago Bears']",1,Hard,"10,000 General Knowledge Questions",Q_0265
General Knowledge,Sports,What are Munroes?,"['Rivers in Scotland', 'Mountains in Scotland', 'Lakes in Scotland', 'Castles in Scotland']",1,Medium,"10,000 General Knowledge Questions",Q_0266
General Knowledge,Sports,Who won six consecutive Wimbledon titles in 1980s?,"['Chris Evert', 'Martina Navratilova', 'Steffi Graf', 'Billie Jean King']",1,Medium,"10,000 General Knowledge Questions",Q_0267
General Knowledge,Sports,Ingemar Stenmark won record 85 world cup races in what sport?,"['Swimming', 'Skiing', 'Ice Hockey', 'Figure Skating']",1,Hard,"10,000 General Knowledge Questions",Q_0268
General Knowledge,Sports,Jean Claude Killy was famous in which sport?,"['Swimming', 'Skiing', 'Ice Hockey', 'Cycling']",1,Medium,"10,000 General Knowledge Questions",Q_0269
General Knowledge,Sports,Who was only person to win world titles on bikes and cars?,"['Jim Clark', 'John Surtees', 'Graham Hill', 'Jackie Stewart']",1,Hard,"10,000 General Knowledge Questions",Q_0270
General Knowledge,Sports,What is oldest swimming stroke?,"['Freestyle', 'Breaststroke', 'Backstroke', 'Butterfly']",1,Medium,"10,000 General Knowledge Questions",Q_0271
General Knowledge,Sports,Women compete between USA and UK in Wightman Cup - what sport?,"['Golf', 'Tennis', 'Swimming', 'Athletics']",1,Hard,"10,000 General Knowledge Questions",Q_0272
General Knowledge,Sports,Giacomo Agostini - 122 Grand Prix 15 world titles - what sport?,"['Formula 1', 'Motorcycle Racing', 'Cycling', 'Rally']",1,Hard,"10,000 General Knowledge Questions",Q_0273
General Knowledge,Colors & Art,What colour is vermilion shade of?,"['Blue', 'Green', 'Red', 'Yellow']",2,Easy,"10,000 General Knowledge Questions",Q_0274
General Knowledge,Art,Who painted The Haywain?,"['Van Gogh', 'John Constable', 'Monet', 'Picasso']",1,Medium,"10,000 General Knowledge Questions",Q_0275
General Knowledge,Art,La Giaconda is better known as what?,"['Venus de Milo', 'Mona Lisa', 'The Thinker', 'David']",1,Easy,"10,000 General Knowledge Questions",Q_0276
